Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
match_score;smith_waterman.c;7;2.09375262260437;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;3.294440746307373;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.6724302768707275;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.4046611785888672;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.8542213439941406;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;3.584548234939575;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;3.7725768089294434;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.4654781818389893;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;3.745138168334961;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.2940573692321777;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;3.330443859100342;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.2157864570617676;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.665372848510742;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.6368520259857178;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;3.127002477645874;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.9051642417907715;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;4.203919410705566;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.2846317291259766;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.172820806503296;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.0106477737426758;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.0291564464569092;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;3.655998945236206;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.8651187419891357;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;0.8220083713531494;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.740877389907837;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.618680715560913;0-6;Double bit-flip;1
j2;smith_waterman.c;177;1.7615551948547363;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;0.5742928981781006;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.2114486694335938;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.032135486602783;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.8223135471343994;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;0.6068878173828125;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.2080397605895996;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.2554931640625;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;0.864408016204834;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.9408295154571533;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.2606725692749023;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.299116849899292;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.4361536502838135;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.4966912269592285;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.1732556819915771;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.1943302154541016;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;4.443849802017212;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;4.617447853088379;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.538668394088745;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.6875410079956055;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;3.83894944190979;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;4.977053880691528;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.1042449474334717;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;4.398548126220703;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.6918926239013672;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.3545260429382324;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.98409366607666;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;4.440156698226929;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.0143885612487793;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.8673224449157715;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;0.8568527698516846;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.2611632347106934;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;3.4981184005737305;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;5.330249071121216;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.782012939453125;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;3.3429291248321533;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;2.1845004558563232;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.93953537940979;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.2122557163238525;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;0.8179285526275635;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.5436961650848389;0-6;Double bit-flip;1
